questions,lang
In quale linguaggio di programmazione è scritto GIMP?,it
En quel langage de programmation a été écrit GIMP?,fr
In welke programmeertaal is GIMP geschreven?,nl
În ce limbaj de programare este scris GIMP?,ro
In which country is the Limerick Lake?,en
In welchem Land befindet sich der Limerick Lake?,de
¿En qué país se encuentra el lago Limerick?,es
In quale stato si trova il lago Limerick?,it
Dans quel pays se trouve le lac Limerick?,fr
In welk land ligt Limerick Lake?,nl
În ce țară este lacul Limerick?,ro
Who is the youngest player in the Premier League?,en
Wer ist der jüngste Spieler in der Premier League?,de
¿Quién es el jugador más jóven de la Premier League?,es
Chi è il giocatore più giovane della Premier League?,it
Quel est le joueur le plus jeune de la Premier League?,fr
Wie is de jongste speler in de Premier League?,nl
Cine este cel mai tânăr jucător din Premier League?,ro
Give me all video games published by Mean Hamster Software.,en
Gib mir alle Videospiele von Mean Hamster Software.,de
Dame todos los videojuegos de Mean Hamster Software.,es
Dammi tutti i videogiochi di Mean Hamster Software.,it
Donnes-moi tous les jeux vidéos publiés par Mean Hamster Software.,fr
Geef me alle videogames van Mean Hamster Software.,nl
Dă-mi toate jocurile video publicate de Mean Hamster Software,ro
Who produced films starring Natalie Portman?,en
"Wer produzierte Filme, in denen Natalie Portman mitspielt?",de
¿Quién ha producido películas en las que actua Natalie Portman?,es
Chi ha prodotto i film in cui recita Natalie Portman?,it
Qui a produit des films dans lesquels joue Natalie Portman?,fr
Wie produceerde films waarin Natalie Portman speelde?,nl
Cine a produs filme cu Natalie Portman în rol principal?,ro
In which films did Julia Roberts as well as Richard Gere play?,en
In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?,de
¿En qué películas actúan Julia Roberts y Richard Gere?,es
In quali film recitano sia Julia Roberts che Richard Gere?,it
Dans quels films jouent Julia Roberts et Richard Gere?,fr
In welke films speelden zowel Julia Roberts als Richard Gere?,nl
În ce filme joacă Julia Roberts precum și Richard Gere?,ro
Was Natalie Portman born in the United States?,en
Wurde Natalie Portman in den Vereinigten Staaten geboren?,de
¿Nació Natalie Portman en los estados unidos de américa?,es
Natalie Portman è nata negli Stati Uniti?,it
Natalie Portman est-elle née aux Etats-Unis?,fr
Werd Natalie Portman geboren in de Verenigde Staten?,nl
A fost Natalie Portman născută în Statele Unite?,ro
How many films did Leonardo DiCaprio star in?,en
In wievielen Filmen hat Leonardo DiCaprio mitgespielt?,de
¿En cuántas películas ha actuado Leonardo DiCaprio?,es
In quanti film ha recitato Leonardo DiCaprio?,it
Dans combien de films Leonard DiCaprio a-t-il joué?,fr
In hoeveel films speelde Leonardo DiCaprio?,nl
În câte filme a jucat Leonardo DiCaprio rol principal?,ro
What is the second highest mountain on Earth?,en
Was ist der zweithöchste Berg der Erde?,de
¿Cuál es la segunda montaña más alta de la tierra?,es
Qual è la seconda montagna più alta sulla Terra?,it
Quelle est la deuxième plus haute montagne de la Terre?,fr
Wat is de op één na hoogste berg ter wereld?,nl
Care este al doilea cel mai înalt munte de pe Pământ?,ro
Give me all books by William Goldman with more than 300 pages.,en
Gib mir alle Bücher von William Goldman mit mehr als 300 Seiten.,de
Dame todos los libros de Wiliam Goldman con más de 300 páginas.,es
Dammi tutti i libri di Wiliam Goldman con più di 300 pagine.,it
Donnes-moi tous les livres de William Goldman avec plus de 300 pages.,fr
Geef alle boeken van William Goldman met meer dan 300 pagina's.,nl
Dă-mi toate carțile de William Glodman cu mai mult de 300 de pagini.,ro
Give me all Danish films.,en
Gib mir alle dänischen Filme.,de
Dame todas las películas danesas.,es
Dammi tutti i film danesi.,it
Donnes-moi tous les films danois.,fr
Noem alle Deense films.,nl
Dă-mi toate filmele daneze.,ro
What is the largest city in Australia?,en
Was ist die größte Stadt in Australien?,de
¿Cuál es la cuidad más grande de Australia?,es
Qual è la città più grande d'Australia?,it
Quelle est la plus grande ville d'Australie?,fr
Wat is de grootste stad van Australië?,nl
Care este cel mai mare oraș din Australia?,ro
Who painted The Storm on the Sea of Galilee?,en
Wer malte Christus im Sturm auf dem See von Galilea?,de
¿Quién pintó el Cristo en la tormenta en el lago de Galilea?,es
Chi dipinse il Cristo nella tempesta sul mare di Galilea?,it
Qui a peint Christ dans la tempête sur la mer de Galilée?,fr
Wie schilderde Christus in de storm op het meer van Galilea?,nl
Cine a pictat Furtuna pe Marea Galileii?,ro
Give me all launch pads operated by NASA.,en
Gib mir alle von der NASA betriebenen Startrampen.,de
Dame todas las plataformas de lanzamiento operadas por la NASA.,es
Dammi tutte le rampe di lancio gestite dalla NASA.,it
Donnes-moi toutes les rampes de lancements des Etats-unis.,fr
Noem alle lanceerplatformen van de NASA.,nl
Dă-mi toate rampele de lansare operate de către NASA.,ro
Who wrote the lyrics for the Polish national anthem?,en
Wer schrieb den Text für die polnische Nationalhymne?,de
¿Quién escribió el texto del himno de Polonia?,es
Chi ha scritto il testo dell'inno nazionale polacco?,it
Qui a écrit le texte de l'hymne nationale de la Pologne?,fr
Wie schreef het Poolse volkslied?,nl
Cine a scris versurile pentru imnul național al Poloniei?,ro
Give me the birthdays of all actors of the television show Charmed.,en
Gib mir die Geburtstage von allen Darstellern der Fernsehserie Charmed.,de
Dame los cumpleaños de los actores de la serie de televisión Charmed.,es
Dammi le date dei compleanni di tutti gli attori della serie televisiva Charmed.,it
Donnes-moi les dates de naissance des acteurs de la série télévisée Charmed.,fr
Noem de verjaardag van alle acteurs uit de televisieserie Charmed.,nl
Dă-mi zilele de naștere a tuturor actorilor din serialul de televiziune Charmed,ro
In which city did John F. Kennedy die?,en
In welcher Stadt ist John F. Kennedy gestorben?,de
¿En qué ciudad murió John F. Kennedy?,es
In quale città morì John F. Kennedy?,it
Dans quelle ville est mort John F. Kennedy?,fr
In welke stad kwam John F. Kennedy om het leven?,nl
În ce oraș a murit John F. Kennedy?,ro
Who produced the most films?,en
Wer hat die meisten Filme produziert?,de
¿Quién ha producido más películas?,es
Chi ha prodotto più film?,it
Qui a produit le plus de films?,fr
Wie produceerde de meeste films?,nl
Cine a produs cele mai multe filme?,ro
Who created the comic Captain America?,en
Wer hat den Comic Captain America erfunden?,de
¿Quién creó el comic Capitán América?,es
Chi ha creato il fumetto Capitan America?,it
Qui a créé la bande dessinée Captain America?,fr
Wie schreef het stripverhaal Captain America?,nl
Cine a creat banda desenată Captain America?,ro
Who was the father of Queen Elizabeth II?,en
Wer war der Vater von Königin Elizabeth II?,de
¿Quién fue el padre de la reina Isabel II?,es
Chi fu il padre della regina Elisabetta II?,it
Qui est le père de la reine Élisabeth II?,fr
Wie was de vader van koningin Elizabeth II?,nl
Cine a fost tatăl reginei Elisabeta a II-a?,ro
Which U.S. state has the abbreviation MN?,en
Welcher US-Bundesstaat hat die Abkürzung MN?,de
¿Qué estado americano tiene la abreviación MN?,es
Quale stato americano è abbreviato MN?,it
Quel état americain a l'abréviation MN?,fr
Welke staat van de Verenigde Staten heeft de afkorting MN?,nl
Care stat American este abreviat MN?,ro
Which movies did Kurosawa direct after Rashomon?,en
Welche Filme hat Kurosawa nach Rashomon gedreht?,de
¿Qué películas ha rodado Kurosawa después de Rashomon?,es
Che film ha diretto Kurosawa dopo Rashomon?,it
Quels films ont été realisés par Kurosawa après Rashomon?,fr
Welke films heeft Kurosawa geregisseerd na Rashomon?,nl
Ce filme a regizat Kurosawa după Rashomon?,ro
Is there a video game called Battle Chess?,en
"Gibt es ein Videospiel, das Battle Chess heißt?",de
¿Hay algún videojuego que se llame Battle Chess?,es
Esiste un videogioco che si chiama Battle Chess?,it
Existe-t-il un jeu vidéo appelé Battle Chess?,fr
Bestaat er een videospel met de naam Battle Chess?,nl
Există un joc video numit Battle Chess?,ro
Which mountains are higher than the Nanga Parbat?,en
Welche Berge sind höher als der Nanga Parbat?,de
¿Qué montañas son más altas que el Nanga Parbat?,es
Quali montagne sono più alte del Nanga Parbat?,it
Quelles montagnes sont plus hautes que le Nanga Parbat?,fr
Welke bergen zijn hoger dan de Nanga Parbat?,nl
Ce munți sunt mai mari decât Nanga Parbat?,ro
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,en
Wann kommt der Film Worst Case Scenario in den Niederlanden in die Kinos?,de
¿Cuándo se estrena la película Worst Case Scenario en los países bajos?,es
Quando verrà proiettato il film Worst Case Scenario al cinema nei Paesi Bassi?,it
Quand sera la film Worst Case Scenario à voir dans les cinémas néerlandais?,fr
Wanneer komt de film Worst Case Scenario in Nederland in de bioscoop?,nl
Când va fi filmul Worst Case Scenario în cinematografele din Olanda?,ro
List all episodes of the first season of the HBO television series The Sopranos.,en
Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.,de
Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.,es
Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos.,it
Donnes-moi tous les épisodes de la première saison de la série télévisée de HBO les Sopranos.,fr
Noem alle afleveringen van het eerste seizoen van de HBO-serie The Sopranos.,nl
Listează toate episodele din primul sezon al serialului HBO de televiziune The Sopranos,ro
Is Jens Friebe a vegan?,en
Ist Jens Friebe Veganer?,de
¿Es Jens Friebe vegano?,es
Jens Friebe è vegano?,it
Jens Friebe est-il un végétarien?,fr
Is Jens Friebe vegetariër?,nl
Este Jens Friebe un vegan?,ro
Which telecommunications organizations are located in Belgium?,en
Welche Telekommunikationsunternehmen haben ihren Sitz in Belgien?,de
¿Qué empresas de telecomunicaciones tienen su sede en Bélgica?,es
Quali aziende di telecomunicazione hanno sede in Belgio?,it
Quelles agences de télécommunication sont situées en Belgique?,fr
Welke telecom-bedrijven zijn gevestigd in België?,nl
Ce agenții de telecomunicații sunt localizate în Belgia?,ro
Give me a list of all American inventions.,en
Gib mir eine Liste aller amerikanischen Erfindungen.,de
Dame una lista de todos los inventos americanos.,es
Dammi la lista delle invenzioni americane.,it
Donnes-moi la liste de toutes les inventions américaines.,fr
Geef een lijst van alle Amerikaanse uitvindingen.,nl
Dă-mi o listă a tuturor invențiilor americane.,ro
Which films starring Clint Eastwood did he direct himself?,en
Bei welchen Filmen mit Clint Eastwood hat er selber Regie geführt?,de
¿En qué películas con Clint Eastwood están dirigidas por él mismo?,es
Quali film con Clint Eastwoon erano diretti da lui stesso?,it
Dans quels films de Client Eastwood joue Clint Eastwood?,fr
"Welke films waarin Clint Eastwood speelde, werden ook door hem geregisseerd?",nl
Ce film în care Clint Eastwood joacă rolul principal a fost regizat de el însuși?,ro
Is the wife of president Obama called Michelle?,en
Heißt die Frau von Präsident Obama Michelle?,de
¿La mujer del presidente Obama se llama Michelle?,es
La moglie del presidente Obama si chiama Michelle?,it
L'épouse du président Obama s'appelle-t-elle Michelle?,fr
Heet de echtgenote van president Barack Obama Michelle?,nl
Este soția președintelui Obama numită Michelle?,ro
What is the highest mountain?,en
Was ist der höchste Berg?,de
¿Cuál es la montaña más alta?,es
Qual è la montagna più alta?,it
Quelle est la montagne la plus haute?,fr
Wat is de hoogste berg?,nl
Care este cel mai înalt munte?,ro
Who are the parents of the wife of Juan Carlos I?,en
Wer sind die Eltern der Frau von Juan Carlos I?,de
¿Quién son los padres de la esposa de Juan Carlos I?,es
Chi sono i genitori della moglie di Juan Carlos I?,it
Qui sont les parents de l'épouse de Juan Carlos Ier?,fr
Hoe heten de ouders van de vrouw van Juan Carlos I?,nl
Cine sunt părinții soției lui Juan Carlos I?,ro
Give me all Canadian Grunge record labels.,en
Gib mir alle kanadischen Grunge-Plattenfirmen.,de
Dame todos las empresas canadienses productoras de música Grunge.,es
Dammi tutti i produttori canadesi di musica Grunge.,it
Donnes-moi tous les labels discographiques canadiens de grunge.,fr
Noem alle Canadese grunge-platenlabels.,nl
Dă-mi toate casele canadiene Grunge de înregistrări.,ro
What is the birth name of Angela Merkel?,en
Was ist der Geburtsname von Angela Merkel?,de
¿Cuál es el nombre de soltera de Angela Merkel?,es
Qual è il nome da nubile di Angela Merkel?,it
Quel est le nom de jeune fille d'Angela Merkel?,fr
Wat is de meisjesnaam van Angela Merkel?,nl
Care este numele de domnișoară al Angelei Merkel?,ro
In which UK city are the headquarters of the MI6?,en
In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?,de
¿En qué ciudad del reino unido se encuentra el cuartel genetal del MI6?,es
In quale città del Regno Unito si trova il quartier generale del MI6?,it
Dans quelle ville anglaise se trouvent les quartiers genéraux du MI6?,fr
In welke Britse stad is het hoofdkwartier van MI6 gevestigd?,nl
În care oraș din Regatul Unit se află cartierul general al MI6?,ro
What is the longest river?,en
Was ist der längste Fluss?,de
¿Cuál es el río más largo?,es
Qual è il fiume più lungo?,it
Quel est le cours d'eau le plus long?,fr
Wat is de langste rivier?,nl
Care este cel mai lung fluviu?,ro
Did Socrates influence Aristotle?,en
Hat Sokrates Aristoteles beeinflusst?,de
¿Tuvo Sócrates influencia sobre Aristóteles?,es
Socrate ha influenzato Aristotele?,it
Socrate a-t-il influencé Aristote?,fr
Beïnvloedde Socrates Aristoteles?,nl
L-a influențat Socrate pe Aristotel?,ro
In which films directed by Garry Marshall was Julia Roberts starring?,en
"In welchem Filmen, bei denen Garry Marshall Regie geführt hat, hat Julia Roberts mitgespielt?",de
¿En qué películas dirigidas por Garry Mashall actuó Julia Roberts?,es
In quali film diretti da Garry Marshall recita Julia Roberts?,it
Dans quels films dirigés par Garry Marshall joue Julia Roberts?,fr
In welke films die werden geregisseerd door Garry Marshall speelde Julia Roberts?,nl
În ce filme regizate de Garry Marsall a jucat Julia Roberts roluri principale?,ro
Who was called Scarface?,en
Wer wurde Scarface genannt?,de
¿Quién era llamado Scarface?,es
Chi venne chiamato Scarface?,it
Qui était surnommé Scarface?,fr
Wie werd er Scarface genoemd?,nl
Cine era numit Scarface?,ro
Is Christian Bale starring in Velvet Goldmine?,en
Spielt Christian Bale in Velvet Goldmine mit?,de
¿Actúa Christian Bale en Velvet Goldmine?,es
Christian Bale ha recitato in Velvet Goldmine?,it
Christian Bale joue-t-il dans Velvet Goldmine?,fr
Speelt Christian Bale in Velvet Goldmine?,nl
Joacă Christian Bale un rol principal în Velvet Goldmine?,ro
Who developed the video game World of Warcraft?,en
Wer hat das Videospiel World of Warcraft entwickelt?,de
¿Quién desarrolló el videojuego Warcraft?,es
Chi ha creato il videogioco World of Warcraft?,it
Qui a développé World of Warcraft?,fr
Wie heeft het videospel World of Warcraft ontwikkeld?,nl
Cine a dezvoltat jocul video World of Warcraft?,ro
What is the time zone of Salt Lake City?,en
In welcher Zeitzone liegt Salt Lake City?,de
¿En qué zona horaria se encuentra Salt Lake City?,es
In quale fuso orario si trova Salt Lake City?,it
Quel est le fuseau horaire de Salt Lake City?,fr
In welke tijdzone ligt Salt Lake City?,nl
Care este fusul orar din Salt Lake City?,ro
Through which countries does the Yenisei river flow?,en
Durch welche Länder fließt der Yenisei?,de
¿Por qué países fluye el río Yenisei?,es
Attraverso quali stati scorre il fiume Yenisei?,it
Quels sont les pays traversés par l'Ienisseï?,fr
Door welke landen stroomt de Jenisej?,nl
Ce țări traversează fluviul Enisei?,ro
List all games by GMT.,en
Liste alle Spiele von GMT auf.,de
Dame todos los juegos de GMT.,es
Elenca tutti i giochi di GMT.,it
Donne-moi tous les jeux de GMT.,fr
Noem alle spelen van GMT.,nl
Enumeră toate jocurile de GMT,ro
Which organizations were founded in 1930?,en
Welche Unternehmen wurden 1930 gegründet?,de
¿Qué empresas fueron fundadas en 1930?,es
Quali aziende sono state fondate nel 1930?,it
Quels organisations ont été fondées en 1930?,fr
Welke organisaties werden opgericht in 1930?,nl
Ce organizații au fost fondate în 1930?,ro
To which countries does the Himalayan mountain system extend?,en
Über welche Länder erstreckt sich der Himalaya?,de
¿Por qué países se extiende el Himalaya?,es
Su quali stati si estende la catena montuosa dell'Himalaya?,it
Quels sont les pays chevauchés par l'Himalaya?,fr
Over welke landen strekt de Himalaya zich uit?,nl
Peste ce țări se întinde lanțul munților Himalaya?,ro
How many employees does IBM have?,en
Wieviele Angestellte hat IBM?,de
¿Cuántos empleados tiene IBM?,es
Quanti dipendenti ha IBM?,it
Combien d'employés a IBM?,fr
Hoeveel medewerkers heeft IBM?,nl
Câți angajați are IBM?,ro
When was Alberta admitted as province?,en
Wann wurde die Provinz Alberta gegründet?,de
¿Cúando fué fundada la provincia de Alberta?,es
Quando Alberta è stata ammessa come provincia?,it
Quand a Alberta reçu le status de province?,fr
Wanneer werd de provincie Alberta gesticht?,nl
Când a fost Alberta recunoscută ca provincie?,ro
Which countries are connected by the Rhine?,en
Welche Länder verbindet der Rhein?,de
¿Qué países une el Rhin?,es
Quali stati sono collegati dal Reno?,it
Quels sont les pays connectés pas le Rhin?,fr
Welke landen worden door de Rijn verbonden?,nl
Ce țări sunt unite de Rin?,ro
Give me all cosmonauts.,en
Gib mir alle Kosmonauten.,de
Dame todas las cosmonautas.,es
Dammi tutte le cosmonaute.,it
Donnes-moi tous les cosmonautes.,fr
Geef alle kosmonauten.,nl
Dă-mi toți cosmonauții.,ro
Who is the mayor of Tel Aviv?,en
Wer ist der Bürgermeister von Tel Aviv?,de
¿Quién es el alcalde de Tel Aviv?,es
Chi è il sindaco di Tel Aviv?,it
Qui est le maire de Tel Aviv?,fr
Wie is de burgemeester van Tel Aviv?,nl
Cien este primarul din Tel Aviv?,ro
Which ships were called after Benjamin Franklin?,en
Welche Schiffe wurden nach Benjamin Franklin benannt?,de
¿Qué barcos fueron bautizados en honor a Benjamin Franklin?,es
Quali navi sono state battezzate in onore di Benjamin Franklin?,it
Quels bâteaux portent le nom de Benjamin Franklin?,fr
Welke schepen zijn genoemd naar Benjamin Franklin?,nl
Ce nave au fost numite după Benjamin Franklin?,ro
Who is the husband of Amanda Palmer?,en
Wer ist der Mann von Amanda Palmer?,de
¿Quién es el marido de Amanda Palmer?,es
Chi è il marito di Amanda Palmer?,it
Qui est l'épou d'Amanda Palmer?,fr
Wie is de echtgenoot van Amanda Palmer?,nl
Cine este soțul Amandei Palmer?,ro
How many employees does Google have?,en
Wieviele Angestellte hat Google?,de
¿Cuántos empleados tiene Google?,es
Quanti dipendenti ha Google?,it
Combien d'employés a Google?,fr
Hoeveel werknemers heeft Google?,nl
Câți angajați are Google?,ro
Which mountain is the highest after the Annapurna?,en
Was ist der höchste Berg nach dem Annapurna?,de
¿Cuál es la montaña más alta después del Annapurna?,es
Qual è la montagna più alta dopo l'Annapurna?,it
Quelle est la montagne la plus haute après l'Annapurna?,fr
Welke berg is na de Annapurna de hoogste berg?,nl
Care este cel mai înalt munte după Annapurna?,ro
Does Breaking Bad have more episodes than Game of Thrones?,en
Hat Breaking Bad mehr Episoden als Game of Thrones?,de
¿Tiene Breaking Bad más episodios que Game of Thrones?,es
Breaking Bad ha più episodi di Game of Thrones?,it
A Breaking Bad plus d'épisodes que Game of Thrones?,fr
Heeft Breaking Bad meer afleveringen dan Game of Thrones?,nl
Are Breaking Bad mai multe episoade decât Game of Thrones?,ro
Give me a list of all bandleaders that play trumpet.,en
"Gib mir eine Liste aller Bandleader, die Trompete spielen.",de
Dame una lista de todos los líderes de un grupo que tocan la trompeta.,es
Dammi la lista di tutti i direttori di orchestra che suonano la tromba.,it
Donne-moi une liste de tous les chefs d'orchestre qui jouent trompette.,fr
Geef me een lijst van alle bandleider die trompet spelen.,nl
Dă-mi o listă a tuturor conducătorilor de formații care cântă la trompetă.,ro
When was the Battle of Gettysburg?,en
Wann fand die Schlacht von Gettysburg statt?,de
¿Cuándo tuvo lugar la batalla de Gettysburg?,es
Quando ha avuto luogo la battaglia di Gettysburg?,it
Quand se déroula la bataille de Gettysburg?,fr
Wanneer was de Slag bij Gettysburg?,nl
Când a fost bătălia de la Gettysburg?,ro
When did Michael Jackson die?,en
Wann starb Michael Jackson?,de
¿Cuándo murió Michael Jackson?,es
Quando è morto Michael Jackson?,it
Quand mourut Michael Jackson?,fr
Wanneer overleed Michael Jackson?,nl
Când a murit Michael Jackson?,ro
How many languages are spoken in Turkmenistan?,en
Wieviele Sprachen werden in Turkmenistan gesprochen?,de
¿Cuántos idiomas se hablan en Turkmenistán?,es
Quante lingue sono parlate in Turkmenistan?,it
Combien de langues sont parlées au Turkménistan?,fr
Hoeveel talen worden er gesproken in Turkmenistan?,nl
Câte limbi sunt vorbite în Turkmenistan?,ro
Is Frank Herbert still alive?,en
Lebt Frank Herbert noch?,de
¿Todavía vive Frank Herbert?,es
Frank Herbert è ancora vivo?,it
Frank Herbert est-il encore en vie?,fr
Leeft Frank Herbert nog?,nl
Este Frank Herbert încă în viață?,ro
How many big fires struck Paris during the Middle Ages?,en
Wieviele Großbrände wüteten im Paris des Mittelalters?,de
¿Cuántos grandes incendios se produjeron en el Paris medieval?,es
Quanti grandi incendi sono scoppiati a Parigi nel Medioevo?,it
Quels grands incendies ont frappé Paris pendant le Moyen Âge?,fr
Hoeveel grote branden troffen Parijs in de Middeleeuwen?,nl
Câte incendii majore a suferit Parisul în Evul Mediu?,ro
How many inhabitants does Maribor have?,en
Wieviele Einwohner hat Maribor?,de
¿Cuántos habitantes tiene Maribor?,es
Quanti abitanti ha Maribor?,it
Combien d'habitants a Maribor?,fr
Hoeveel inwoners heeft Maribor?,nl
Câți locuitori are Maribor?,ro
Give me a list of all lakes in Denmark.,en
Gib mir eine Liste aller Seen in Dänemark.,de
Dame una lista de todos los lagos en Dinamarca.,es
Dammi una lista di tutti i laghi della Danimarca.,it
Donnes-moi tous les lacs du Danemark.,fr
Noem alle meren in Denemarken.,nl
Dă-mi o listă a tuturor lacurilor din Danemarca.,ro
Is proinsulin a protein?,en
Ist Proinsulin ein Protein?,de
¿La proinsulina es una proteina?,es
La proinsulina è una proteina?,it
La pro-insuline est-elle une protéine?,fr
Is proinsuline een proteïne?,nl
Este proinsulina o proteină?,ro
Which awards did WikiLeaks win?,en
Welche Preise hat WikiLeaks gewonnen?,de
¿Qué premios ha ganado WikiLeaks?,es
Quali premi ha vinto WikiLeaks?,it
Quels prix ont été gagnés par Wikileaks?,fr
Welke prijzen heeft WikiLeaks gewonnen?,nl
Ce premii a câștigat WikiLeaks?,ro
Which Greek goddesses dwelt on Mount Olympus?,en
Welche griechischen Göttinnen bewohnten den Olymp?,de
¿Qué diosas griegas habitan el Olimpo?,es
Quale dea greca risiedeva sul monte Olimpo?,it
Quelles déesses grecques habitent sur l'Olympe?,fr
Welke Griekse godinnen woonden op de Olympus?,nl
Care zeiță greacă a locuit pe Muntele Olimp?,ro
How high is the Mount Everest?,en
Wie hoch ist der Mount Everest?,de
¿Qué alto es el Monte Everest?,es
Quanto è alto il Monte Everest?,it
Quelle est l'altitude du Mont Everest?,fr
Hoe hoog is de Mount Everest?,nl
Ce altitudine are muntele Everest?,ro
Which country has the most official languages?,en
Welches Land hat die meisten Amtssprachen?,de
¿Qué país tiene más idiomas oficiales?,es
Quale stato ha più lingue ufficiali?,it
Quels pays a le plus de langues officielles?,fr
Welk land heeft de meeste officiële talen.,nl
Ce țară are cele mai multe limbi oficiale?,ro
Give me all communist countries.,en
Gib mir alle kommunistischen Länder.,de
Dame todos los países comunistas.,es
Dammi tutti i paesi comunisti.,it
Donnes-moi tous les pays communistes.,fr
Geef alle communistische landen.,nl
Dă-mi toate țările comuniste.,ro
Which instruments does Cat Stevens play?,en
Welche Instrumente spielt Cat Stevens?,de
¿Qué instrumentos tocaba Cat Stevens?,es
Quali strumenti suona Cat Stevens?,it
Quels instruments joue Cat Stevens?,fr
Welke instrumenten speeld Cat Stevens?,nl
La ce instrumente cântă Cat Stevens?,ro
Sean Parnell is the governor of which U.S. state?,en
Von welchem US-Bundesstaat ist Sean Parnell der Gouverneur?,de
¿De qué estado americano es Sean Parnell el gobernador?,es
Di quale stato americano Sean Parnell è governatore?,it
Quel est l'état américain dont Sean Parnelle st le gouverneur?,fr
Sean Parnell is de gouverneur van welke staat van de Verenigde Staten?,nl
Sean Parnell este guvernatorul cărui stat american?,ro
Give me all books written by Danielle Steel.,en
"Gib mir alle Bücher, die Danielle Steel geschrieben hat.",de
Dame todos los libros escritos por Danielle Steel.,es
Dammi tutti i libri scritti da Danielle Steel.,it
Donnes-moi tous les livres écrits par Danielle Steel.,fr
Noem alle boeken van Danielle Steel.,nl
Dă-mi toate cărțile scrise de Danielle Steel.,ro
What is the most beautiful painting?,en
Welches Gemälde ist das schönste?,de
¿Cuál es la pintur más bonita?,es
Qual è il dipinto più bello?,it
Quelle est la plus belle peinture du monde?,fr
Wat is het mooiste schilderij?,nl
Care este cel mai prumos tablou?,ro
Did Tesla win a nobel prize in physics?,en
Hat Tesla den Nobelpreis für Physik gewonnen?,de
¿Obtuvo Tesla el premio nobel de física?,es
Tesla ha vinto un premio Nobel per la fisica?,it
Tesla a-t-il recu le prix Nobel?,fr
Heeft Tesla ooit de Nobelprijs voor de Natuurkunde gewonnen?,nl
A câștigat Tesla un premiu Nobel pentru fizică?,ro
Who is the owner of Universal Studios?,en
Wem gehören die Universal Studios?,de
¿A quién le pertenecen los Universal Studios?,es
Chi è il proprietario degli Universal Studios?,it
A qui appartient Universal Studios?,fr
Wie is de eigenaar van Universal Studios?,nl
Cine este proprietarul Universal Studios?,ro
Who is the governor of Wyoming?,en
Wer ist der Gouverneur von Wyoming?,de
¿Quién es el gobernador de Wyoming?,es
Chi è il governatore del Wyoming?,it
Qui est le gouverneur du Wyoming?,fr
Wie is de gouverneur van Wyoming?,nl
Cine este guvernatorul din Wyoming?,ro
When were the Hells Angels founded?,en
Wann wurden die Hells Angels gegründet?,de
¿Cúando se fundaron los Hells Angels?,es
Quando si sono formati gli Hells Angels?,it
Quand ont-été fondé les Hells Angels?,fr
Wanneer zijn de Hells Angels opgericht?,nl
Când a fost înființată Hell Angels?,ro
Who is the daughter of Ingrid Bergman married to?,en
Mit wem ist die Tochter von Ingrid Bergman verheiratet?,de
¿Con quién está casada la hija de Ingrid Bergman?,es
Con chi è sposata la figlia di Ingrid Bergman?,it
Qui est l'épou de la fille d'Ingrid Bergman?,fr
Met wie is de dochter van Ingrid Bergman getrouwd?,nl
Cu cine este căsătorită fiica lui Ingrid Bergman?,ro
Give me all libraries established earlier than 1400.,en
"Gib mir alle Bibliotheken, die vor 1400 gegründet worden.",de
Dame todas las bibliotecas que fueron establecidas antes de 1400.,es
Dammi tutte le biblioteche fondate prima del 1400.,it
Donnes-moi toutes les bibliothèques établies avant 1400.,fr
Geef me alle bibliotheken die voor 1400 werden opgericht.,nl
Dă-mi tote bibliotecile înființate înainte de 1400,ro
Is Egypts largest city also its capital?,en
Ist Ägyptens größte Stadt auch seine Hauptstadt?,de
¿Es la cuidad más grande de Egipto también capital?,es
La città più grande dell'Egitto è anche la sua capitale?,it
La ville la plus grande de l'Egypte est-elle sa capitale?,fr
Is de grootste stad van Egypte ook de hoofdstad?,nl
Orașul cel mai mare din EGipt este și capital sa?,ro
How many countries are there in Europe?,en
Wieviele Länder gibt es in Europa?,de
¿Cuántos países existen en Europa?,es
Quanti stati ci sono in Europa?,it
Combien de pays sont-il en Europe?,fr
Hoeveel landen zijn er in Europa?,nl
Câte țări sunt în Europa?,ro
Who is the mayor of Berlin?,en
Wer ist der Bürgermeister von Berlin?,de
¿Quién es el alcalde de Berlin?,es
Chi è il sindaco di Berlino?,it
Qui est le maire de Berlin?,fr
Wie is de burgemeester van Berlijn?,nl
Cine este primarul din Berlin?,ro
How many people live in the capital of Australia?,en
Wieviele Menschen leben in der Hauptstadt Australiens?,de
¿Cuánta gente vive en la capital de Australia?,es
Quante persone vivono nella capitale dell'Australia?,it
Quel est le nombre d'habitants de la capitale de l'Australie?,fr
Hoeveel mensen wonen er in de hoofdstad van Australië?,nl
Câți oameni locuiesc in capitala Australiei?,ro
Who founded Intel?,en
Wer hat Intel gegründet?,de
¿Quién fundó Intel?,es
Chi ha fondato Intel?,it
Qui a fondé Intel?,fr
Wie is de oprichter van Intel?,nl
