questions,lang
 încheiat cariera activă,ro
 types grow grapes,en
 wachsen traubenarten oregon,de
 crece uva tipo,es
 tipi crescono uva,it
 raisin poussent genres,fr
 soorten groeien druiven,nl
 struguri soiuri cresc,ro
 tall michael jordan,en
 groß michael jordan,de
 altura michael jordan,es
 michael jordan alto,it
 taille michael jordan,fr
 lang michael jordan,nl
 party belong to,en
 partei gehört bürgermeisterin,de
 politico partido pertenece,es
 polito partito appartiene,it
 politique parti maire,fr
 partij tot parijs,nl
 partid parisului cărui,ro
 pillars earth book,en
 säulen schrieb erde,de
 tierra quen pilares,es
 pilastri terra scritto,it
 piliers terre livre,fr
 pilaren aarde schreef,nl
 stâlpii pământului cartea,ro
 16th united states,en
 16 vereinigten staaten,de
 16th unidos estados,es
 sedicesimo uniti degli,it
 fut états unis,fr
 16de staten verenigde,nl
 statelor președinte unite,ro
 high mount everest,en
 hoch mount everest,de
 monte alto everest,es
 monte alto quanto,it
 altitude mont everest,fr
 hoog hoe mount,nl
 doctoral supervisor einstein,en
 doktorvater einstein albert,de
 doctorado supervisor quien,es
 tesi supervisore dottorato,it
 thèse directeur était,fr
 promotor einsteins doctoraatsonderzoek,nl
 doctorat conducătorul einstein,ro
 live sylvester stallone,en
 wohnt sylvester stallone,de
 vive sylvester stallone,es
 vive sylvester stallone,it
 vit sylvester stallone,fr
 woont sylvester stallone,nl
 trăiește sylvester stallone,ro
 republic czech currency,en
 tschechischen republik währung,de
 república checa moneda,es
 repubblica ceca valuta,it
 tchéquie devise la,fr
 tsjechië munteenheid wat,nl
 influence aristotle socrates,en
 sokrates beeinflusst aristoteles,de
 sócrates influencia aristóteles,es
 influenzato aristotele socrate,it
 influencé aristote socrate,fr
 beïnvloedde socrates aristoteles,nl
 time zone salt,en
 zeitzone salt liegt,de
 zona horaria salt,es
 orario fuso salt,it
 fuseau horaire salt,fr
 tijdzone salt ligt,nl
 sonny cher son,en
 sohn und sonny,de
 hijo sonny cher,es
 figlio sonny cher,it
 fils sonny cher,fr
 zoon sonny cher,nl
 fiul sonny cher,ro
 nations headquarters united,en
 vereinten nationen hauptquartier,de
 unidas sede naciones,es
 nazioni quartier generale,it
 unies trouvé généraux,fr
 naties zich hoofdkwartier,nl
 națiunilor general cartierul,ro
 founder penguin books,en
 penguin gegründet books,de
 fundador penguin quien,es
 fondatore penguin books,it
 fondateur penguin books,fr
 oprichter penguin books,nl
 fondatorul penguin books,ro
 founded wolfskin jack,en
 wolfskin jack gegründet,de
 fundó cúando wolfskin,es
 stata fondata wolfskin,it
 fondé wolfskin jack,fr
 opgericht werd wolfskin,nl
 fondat wolfskin când,ro
 rotterdam mayor who,en
 bürgermeister rotterdam wer,de
 alcalde rotterdam quién,es
 sindaco rotterdam chi,it
 maire rotterdam qui,fr
 burgemeester rotterdam wie,nl
 primar rotterdam în,ro
 swedish oceanographers give,en
 schwedischen ozeanographen gib,de
 suecos oceanógrafos todos,es
 svedesi oceanografi gli,it
 suédois océanographes donne,fr
 zweedse oceanograafen toon,nl
 suedezi oceanografii toți,ro
 autobiography show hemingway,en
 hemmingways autobiographie zeig,de
 autobiografía muéstrame hemingway,es
 autobiografia mostrami hemingway,it
 montre autobiographie hemingway,fr
 hemmingway autobiografie toen,nl
 autobiografia arată hemingway,ro
 parents wife juan,en
 eltern sind frau,de
 padres esposa juan,es
 genitori moglie juan,it
 ier parents épouse,fr
 heten ouders vrouw,nl
 soției părinții juan,ro
 physics prize win,en
 physik nobelpreis tesla,de
 obtuvo física premio,es
 fisica vinto premio,it
 recu tesla prix,fr
 natuurkunde ooit nobelprijs,nl
 tallest basketball player,en
 basketballspieler größte wer,de
 baloncesto jugador mas,es
 pallacanestro giocatore alto,it
 basket joueur grand,fr
 basketballer grootste wie,nl
 basket jucător înalt,ro
 least inhabitants has,en
 wenigsten einwohner stadt,de
 menor población ciudad,es
 minor abitanti numero,it
 petit habitants nombre,fr
 minste inwoners stad,nl
 puțini locuitori cei,ro
 protein proinsulin is,en
 protein proinsulin ein,de
 proteina proinsulina una,es
 proteina proinsulina una,it
 protéine pro insuline,fr
 proteïne proinsuline een,nl
 victoria parents queen,en
 viktoria königin eltern,de
 reina quiénes padres,es
 vittoria regina genitori,it
 reine étaient victoria,fr
 koningin ouders waren,nl
 reginei părinții victoria,ro
 children guevara have,en
 kinder hatte guevara,de
 hijos tuvo guevara,es
 aveva figli dei,it
 eu enfants guevara,fr
 kinderen had guevara,nl
 copii avut guevara,ro
 lake bigger bear,en
 größer große bärensee,de
 lago bear baikal,es
 lago bear baikal,it
 lake que bear,fr
 groter groot berenmeer,nl
 lacul decât bear,ro
 ever at win,en
 preis jury jemals,de
 vez gran gano,es
 vinto kaurismäki cannes,it
 gagné kaurismäki cannes,fr
 filmfestival ooit op,nl
 vreodată premiul câștigat,ro
 more than pages,en
 seiten bücher mehr,de
 wiliam páginas libros,es
 wiliam pagine libri,it
 livres pages goldman,fr
 pagina boeken meer,nl
 glodman carțile mult,ro
 located where knox,en
 wo liegt knox,de
 donde encuentra knox,es
 dove trova knox,it
 américain état trouve,fr
 ligt waar knox,nl
 stat situat american,ro
 located state knox,en
 bundesstaat us liegt,de
 estado american encuentra,es
 americano trova knox,it
 américain état trouve,fr
 staten verenigde staat,nl
 buried where syngman,en
 begraben wo syngman,de
 enterrado está dónde,es
 sepolto dove syngman,it
 enterré où syngman,fr
 begraven ligt waar,nl
 înmormântat unde syngman,ro
 timezone pedro atacama,en
 zeitzone pedro liegt,de
 zona horaria pedro,es
 orario fuso pedro,it
 fuseau horaire pedro,fr
 tijdzone pedro atacama,nl
 fusul orar pedro,ro
 painter movement dancers,en
 tänzer stilrichtung maler,de
 tres pinto estilo,es
 pittore movimento ballerini,it
 peintre mouvement danceurs,fr
 stijl schilder drie,nl
 îi trei pictorul,ro
 known scientist project,en
 wissenschaftler projekt friedensnobelpreis,de
 proyecto conocidos científicos,es
 per scienziato progetto,it
 projet connu chercheur,fr
 wetenschaper bekend vrede,nl
 pentru știință proiectul,ro
 show foundation series,en
 asimovs zeig foundation,de
 fundación muéstrame libros,es
 fondazione ciclo mostrami,it
 montres fondation cycle,fr
 horen toon foundation,nl
 seria fundația cărțile,ro
 cities more inhabitants,en
 städte mehr haben,de
 tengan cuidades habitantes,es
 tutte abitanti jersey,it
 villes toutes habitants,fr
 steden inwoners meer,nl
 visitors museum most,en
 besucher welches museum,de
 visitantes nueva museo,es
 visitatori museo maggior,it
 visiteurs musée york,fr
 bezoekers meeste museum,nl
 vizitatori muzeu mulți,ro
 tower high marine,en
 tower hoch marine,de
 torre cómo marine,es
 torre marine yokohama,it
 tour hauteur yokohama,fr
 tower hoog marine,nl
 turnul înalt marine,ro
 one old more,en
 neue alte mehr,de
 nueve anterior episodios,es
 quella precedente nuova,it
 nouvelle ancienne série,fr
 nieuwe oude afleveringen,nl
 youngest darts player,en
 dartspieler jüngste wer,de
 dardos jóven jugador,es
 freccette giovane giocatore,it
 fléchettes jeune joueur,fr
 dartsspeler jongste wie,nl
 tânăr darts jucător,ro
 developed video warcraft,en
 videospiel entwickelt warcraft,de
 videojuego desarrolló warcraft,es
 videogioco creato warcraft,it
 développé warcraft world,fr
 videospel ontwikkeld warcraft,nl
 pope that vatican,en
 vatikanische papst fernsehen,de
 televisión fundo vaticana,es
 televisione fondato vaticana,it
 télé pape vatican,fr
 vaticaanse televisie richtte,nl
 televiziunea vatican papa,ro
 music composed maude,en
 komponiert musik maude,de
 para compuso música,es
 musica composto per,it
 musique composé maude,fr
 componeerde muziek voor,nl
 members prodigy give,en
 bandmitglieder prodigy gib,de
 miembros banda prodigy,es
 membri dei prodigy,it
 membres prodigy donne,fr
 leden prodigy noem,nl
 toții membrii prodigy,ro
 spanish produced movies,en
 spanischen produziert alles,de
 protagoniza producidas españolas,es
 spagnoli prodotti nei,it
 jouent dirigés acteurs,fr
 speeld spaanse geproduceerd,nl
 spaniole protagoniști produse,ro
 subsidiary serves both,en
 tochtergesellschaft sowohl fliegt,de
 vuela subsidiario glasgow,es
 dublino sussidiaria sia,it
 vole subsidiaire sur,fr
 dochteronderneming bedient zowel,nl
 filială atât deservește,ro
 located mecca country,en
 mekka liegt welchem,de
 sitúa meca país,es
 mecca trova stato,it
 mecca trouve pays,fr
 mekka ligt welk,nl
 mecca află țară,ro
 spoken languages colombia,en
 kolumbien sprachen gesprochen,de
 idiomas hablan colombia,es
 parlate lingue colombia,it
 colombie parlées langues,fr
 worden talen gesproken,nl
 columbia vorbite limbi,ro
 spain biggest stadium,en
 spanien stadion größte,de
 españa estadio más,es
 spagna stadio lo,it
 espagne stade grand,fr
 spanje stadion grootste,nl
 spania stadion mare,ro
 philippines professional surfers,en
 philippinen profisurfer wurden,de
 filipinas surfistas nacieron,es
 nelle filippine surfisti,it
 surfeurs professionels philippines,fr
 filipijnen professionele surfers,nl
 five boroughs york,en
 stadtteile fünf sind,de
 cuáles condados cinco,es
 quartieri cinque york,it
 cinq quartiers donne,fr
 wijken fijv zijn,nl
 cinci cartiere cele,ro
 beverage cola is,en
 getränk ein cola,de
 bebida coca cola,es
 bevanda cola una,it
 boisson coca une,fr
 drank cola een,nl
 băutură cola este,ro
 princess diana when,en
 prinzessin gestorben diana,de
 princesa murió cuándo,es
 principessa morta diana,it
 princesse date décès,fr
 prinses overleden diana,nl
 prințesa murit diana,ro
 wine sparkling produced,en
 schaumwein frankreich wird,de
 espumoso francia vino,es
 frizzante francia vino,it
 vin produit mousseux,fr
 wijn mousserende frankrijk,nl
 vinul spumant produs,ro
 castles any there,en
 schlösser irgendwelche vereinigten,de
 negli castelli ci,it
 châteaux états aux,fr
 frescoes find crete,en
 sie können kreta,de
 trovare possono creta,it
 trouver peut fresques,fr
 root persian common,en
 wurzel perser gemeinsame,de
 stesse radici persiano,it
 persan ourdou commune,fr
 plant motor manufacturing,en
 frabik malaysia eine,de
 malesia fabbrica una,it
 usine possède malaisie,fr
 manufactured years model,en
 model jahre hergestellt,de
 prodotta anni per,it
 fabriquée pendant années,fr
 years presidents american,en
 letzten präsidenten jahre,de
 ultimi presidenti anni,it
 dernières des présidents,fr
 prohibition gangsters from,en
 ära prohibitions gangster,de
 proibizionismo gangster dell,it
 prohibition gangsters donnez,fr
 wonders seven ancient,en
 wunder sieben antiken,de
 sette meraviglie antico,it
 sept merveilles antique,fr
 elements chemical give,en
 elemente chemischen gib,de
 elementi chimici gli,it
 éléments chimiques donnez,fr
 rivers lakes south,en
 seen flüsse south,de
 laghi fiumi sud,it
 rivières lacs caroline,fr
 mexico states many,en
 mexiko viele staaten,de
 messico ci quanti,it
 mexique états au,fr
 up theories come,en
 theorien formuliert viele,de
 teorie formulò quante,it
 théories formulé einstein,fr
 racing horse sport,en
 pferderennen sport ein,de
 uno ippica sport,it
 hippiques courses sport,fr
 really planet pluto,en
 wirklich planet pluto,de
 veramente pianeta plutone,it
 réellement planète pluton,fr
 sigmund married freud,en
 verheiratet sigmund freud,de
 sposato sigmund freud,it
 marié sigmund freud,fr
 found africa government,en
 südafrika regierungsform welche,de
 sudafrica governo forma,it
 afrique gouvernement forme,fr
 largest united states,en
 vereinigten staaten staat,de
 esteso lo uniti,it
 états état unis,fr
 longest river world,en
 längste fluss welt,de
 lungo mondo fiume,it
 rivière longue monde,fr
 floors building after,en
 nach gebäude etagen,de
 piani edificio dopo,it
 étages édifice après,fr
 wavelength indigo what,en
 wellenlänge indigo von,de
 onda lunghezza indaco,it
 onde longueur indigo,fr
 famous antonio 1836,en
 berühmten schlacht antonio,de
 famosa battaglia nome,it
 célèbre bataille antonio,fr
 used ships names,en
 schiffe namen benutzte,de
 utilizzate nomi navi,it
 utilisés noms colomb,fr
 original colonies british,en
 originalen kolonien britischen,de
 originarie colonie britanniche,it
 originales colonnies britanniques,fr
 muhammad when did,en
 gestorben muhammad wann,de
 maometto morì quando,it
 mahomet mort quand,fr
 company beers founded,en
 beers gegründet wann,de
 azienda fondata beers,it
 société fondée beers,fr
 adams born when,en
 adams wann wurde,de
 nacque adams quando,it
 né adams quand,fr
 office during presidents,en
 während vietnamkriegs amt,de
 erano durante carica,it
 pouvoir présidents pendant,fr
 running metro oldest,en
 funktionierende bahn älteste,de
 metropolitana funzione antica,it
 vieux métro fonction,fr
 holidays celebrated around,en
 gefeiert feiertage welt,de
 nel festività celebrate,it
 fêtes célébrées autour,fr
 assassinated mckinley president,en
 ermordet mckinley präsident,de
 assassinò mckinley presidente,it
 assassiné mckinley président,fr
 discovered pluto who,en
 entdeckt pluto wer,de
 scoprì plutone chi,it
 pluton découvert qui,fr
 killed caesar who,en
 getötet caesar wer,de
 uccise giulio cesare,it
 tué césar qui,fr
 pyramid giza buried,en
 cheops pyramide begraben,de
 piramide sepolto giza,it
 gizeh pyramide enterré,fr
 king england first,en
 könig england erste,de
 inghilterra re primo,it
 angleterre roi était,fr
 roses result final,en
 rosenkriege endergebnis war,de
 risultato finale due,it
 résultat rose final,fr
 writes farmers almanac,en
 schreibt farmes almanac,de
 scrive farmers almanac,it
 fermiers almanach écrit,fr
 diameter big earth,en
 durchmesser erde groß,de
 diametro terra quanto,it
 diamètre longueur terre,fr
 proclaim its independence,en
 verkündet unabhängigkeit seine,de
 indipendente dichiarò paraguay,it
 prononcé indépendance paraguay,fr
 eurasia people live,en
 eurasien menschen leben,de
 eurasia persone vivono,it
 eurasie personnes vivent,fr
 runtime toy story,en
 laufzeit toy story,de
 durata toy story,it
 durée toy story,fr
 band stone queens,en
 band erste stone,de
 gruppo nome stone,it
 groupe stone queens,fr
 birth place sinatra,en
 geburtsort sinatra den,de
 nascita luogo sinatra,it
 naissance lieu sinatra,fr
 university attend merkel,en
 universiät besucht merkel,de
 università frequentato merkel,it
 fréquenté université merkel,fr
